OrderID,PaymentMethod,PaymentDate,Amount
1001,InvalidMethod,,
1002,Credit Card,2024-08-02 00:00:00,753.48
1003,Credit Card,2024-08-03 00:00:00,978.27
1004,InvalidMethod,2024-08-04 00:00:00,564.67
1005,Credit Card,2024-08-05 00:00:00,390.66
1006,Credit Card,,815.67
1007,InvalidMethod,2024-08-07 00:00:00,343.75
1008,Credit Card,2024-08-08 00:00:00,495.07
1009,Credit Card,2024-08-09 00:00:00,170.61
1010,InvalidMethod,2024-08-10 00:00:00,122.82
1011,Credit Card,,
1012,Credit Card,2024-08-12 00:00:00,966.38
1013,InvalidMethod,2024-08-13 00:00:00,852.38
1014,Credit Card,2024-08-14 00:00:00,726.38
1015,Credit Card,2024-08-15 00:00:00,468.06
1016,InvalidMethod,,255.96
1017,Credit Card,2024-08-17 00:00:00,240.79
1018,Credit Card,2024-08-18 00:00:00,325.22
1019,InvalidMethod,2024-08-19 00:00:00,594.3
1020,Credit Card,2024-08-20 00:00:00,743.14
1021,Credit Card,,
1022,InvalidMethod,2024-08-22 00:00:00,694.18
1023,Credit Card,2024-08-23 00:00:00,351.94
1024,Credit Card,2024-08-24 00:00:00,959.38
1025,InvalidMethod,2024-08-25 00:00:00,764.11
1026,Credit Card,,598.92
1027,Credit Card,2024-08-27 00:00:00,650.55
1028,InvalidMethod,2024-08-28 00:00:00,477.64
1029,Credit Card,2024-08-29 00:00:00,322.96
1030,Credit Card,2024-08-30 00:00:00,420.38
1031,InvalidMethod,,
1032,Credit Card,2024-09-01 00:00:00,782.06
1033,Credit Card,2024-09-02 00:00:00,112.95
1034,InvalidMethod,2024-09-03 00:00:00,204.47
1035,Credit Card,2024-09-04 00:00:00,141.4
1036,Credit Card,,136.66
1037,InvalidMethod,2024-09-06 00:00:00,869.91
1038,Credit Card,2024-09-07 00:00:00,733.29
1039,Credit Card,2024-09-08 00:00:00,526.76
1040,InvalidMethod,2024-09-09 00:00:00,188.05
1041,Credit Card,,
1042,Credit Card,2024-09-11 00:00:00,542.45
1043,InvalidMethod,2024-09-12 00:00:00,526.12
1044,Credit Card,2024-09-13 00:00:00,255.88
1045,Credit Card,2024-09-14 00:00:00,490.47
1046,InvalidMethod,,458.65
1047,Credit Card,2024-09-16 00:00:00,654.27
1048,Credit Card,2024-09-17 00:00:00,671.58
1049,InvalidMethod,2024-09-18 00:00:00,140.77
1050,Credit Card,2024-09-19 00:00:00,437.15
1051,Credit Card,,
1052,InvalidMethod,2024-09-21 00:00:00,663.27
1053,Credit Card,2024-09-22 00:00:00,552.82
1054,Credit Card,2024-09-23 00:00:00,870.84
1055,InvalidMethod,2024-09-24 00:00:00,692.82
1056,Credit Card,,246.64
1057,Credit Card,2024-09-26 00:00:00,163.51
1058,InvalidMethod,2024-09-27 00:00:00,678.18
1059,Credit Card,2024-09-28 00:00:00,123.86
1060,Credit Card,2024-09-29 00:00:00,627.2
